AEROX051;SV-AEROX155 PT-CHAINE SV-AEROX155时规链;200个/件;链条;个;2500
AEROX062;SV-AEROX155 POULIE  SV-AEROX155皮带轮;6个/件;其他;个;20000
BCP20104;YX-CD110-PT-PION(14T)/YX-CD110小齿-428-14T;200个/件;大小齿;个;200
BDG0001;YX-CG125-AXE DE VITESS 5T /YX-CG125变档轴五档;50支/件;变档轴、变档杆;支;800
BDG0002;YX-CG150-AXE DE VITESS/YX-CG150变档轴;50只/件;变档轴、变档杆;支;692
BDG0005;YX-ALOBA-LEVIER VITESSE/YX-ALOBA变档杆;100支/件;变档轴、变档杆;支;600
BDG0008;YX-GN125-LEVIER VITESSE/YX-GN125变档杆+双踩;100支/件;变档轴、变档杆;支;500
BDG0010;YX-AP150-LEVIER-VITESSE-1-ECROU /YX-三轮车变档杆-单丝(加长65）;100支/件;变档轴、变档杆;支;700
BDG0019;YX-CG125-AXE LEVIER VITESSE 4  /YX-CG125变档轴4档;50支/件;变档轴、变档杆;支;750
BDG0022;YX-X-1-BALATEUR CPL/YX-X-1变速鼓总成;40套/件;离合器小鼓;套;1700
BDG0023;EV-CG125-AXE DE LEVIER VITESSE 5 /EV-CG125变档轴五档;50支/件;变档轴、变档杆;支;775
BDG0026;YX-GN125-LEVIER VITESSE 1COTE /YX-GN125变档杆-单踩;200个/件;变档轴、变档杆;个;400
BDG0029;AP150-20AXE JANT AV/AP150-20前轮轴;25条/件;三轮车铁件传动轴后桥;条;1300
BDG0032;EV-ALOBA-LEVIER DE VITESS/EV-ALOBA变档杆;100只/件;变档轴、变档杆;个;650
BDG0038;YX-SY125-8 LEVIER DE VITESS /YX-SY125-8变档杆;100个/件;变档轴、变档杆;个;700
BDG0043;EV-CG150-LEVIE DE VITESSE(1ECO)/150变档杆-单丝加长65;100支/件;变档轴、变档杆;支;750
BDG0047;EV-CG150-LEVIER-VITESSE-2 -ECROU/150变档杆-双丝加长65;100支/件;变档轴、变档杆;支;750
BDG0048;EV-SY125-8-LEVIER DE VITESS/EV-SY125-8变档杆;100支/件;变档轴、变档杆;支;750
BDG0050;EV-CG200-AXE DE LEVIER VITEESSE/EV-CG200变档轴;50支/件;变档轴、变档杆;支;800
BDG0051;YX-LJ110-LEVIER VITESSE/LJ110变档杆;100支/箱;变档轴、变档杆;支;600
BDG0058;YX-AP200-LEVIER VITESSE /YX-AP200变档杆;100套/件;变档轴、变档杆;套;1500
BDG0059;YX-CD110-LEVIER DE VITESS /YX-CD110变档杆;100支/件;变档轴、变档杆;支;650
BDG0060;YX-CD110-AXE DE VITESS/YX-CD110变档轴;50支/件;变档轴、变档杆;支;1250
BDG0061;YX-X-1-LEVIER DE VITESS/YX-X-1变档杆;100支/件;变档轴、变档杆;支;600
BDG0062;YX-AP150-20-LEVIER DE VITESS (NOIR)/YX-AP150-20变档杆-黑色;50支/件;变档轴、变档杆;支;800
BDG0068;YX-X-1-LEVIER VITESSE(NOIR)/变档杆-黑漆;100只/件;变档轴、变档杆;只;600
BDG0069;YX-NEO125-LEVIER DE VITESS/NEO125变档杆;100个/件;变档轴、变档杆;个;1000
BDG0082;SV-HJ150-9-AXE DE LEVIER/SV-HJ150-9变档轴;50个/件;变档轴、变档杆;个;1000
BDG0083;SV-HJ150-9-LEVIER DE VITESS/ SV-HJ150-9变档杆;30个/件;变档轴、变档杆;个;2000
BDG0084;SV-NEO125-LEVIER VITESSE/SV-NEO125变档杆;100个/件;变档轴、变档杆;个;2000
BXG0001;PARACHOC-3 TRAITS 王 /保险杠王型-老款JHB-06;10只/件;保险杠、货架;只;4000
BXG0002;PARACHOC-王 /保险杠王型-新款开口JHB-01;10只/件;保险杠、货架;只;4000
BXG0003;PARACHOC-ROND  /碟型保险杠-JHB-04;10只/件;保险杠、货架;只;4000
BXG0010;SV HJ150-9 PORT BAGAGE/ SV-HJ150-9后货架;10个/件;保险杠、货架;个;9000
BXG0012;ALOBA  PARACHOC ALOBA保险杠（新款包胶）;10个/件;保险杠、货架;个;5000
BXG0013;"ALOBA PARACHOC H-B款	 保险杠H-B款";8个/件;保险杠、货架;套;7000
BXG0014;"ALOBA-PARACHOC H-5	 保险杠H-5款";5个/件;保险杠、货架;个;8500
